urRe urIm urAbs uzRe uzIm uzAbs
0,0290211982628621 0,0151322868725467 0,0327294371263149 -0,00979754576878885 -0,00560859545522073 0,0112892978555725
0,0259094509605382 0,0118712543905369 0,0284995847317356 -0,00817675027278794 -0,00448683663089788 0,00932689380104141
0,0253667663339171 0,0112422613587862 0,0277463740820095 -0,00781653090325302 -0,00425183610979298 0,00889810461087354
0,0251900469183274 0,0108323029563411 0,0274203802140943 -0,0074832716201487 -0,00403944088566833 0,00850390714964198
0,0254152479069485 0,0106535984892206 0,0275578298663224 -0,00717395297502826 -0,00384626080764503 0,00813998301523676
0,0260501162187977 0,0107024189276361 0,0281629246690661 -0,00688641215003925 -0,00366952969012899 0,00780308403433837
0,0270649935061989 0,0109556211436667 0,0291982791981675 -0,00661996005094319 -0,00350762530016351 0,00749181595625726
0,0283902442134708 0,0113721272022017 0,0305831856353056 -0,00637582831861335 -0,00336035393704112 0,00720716069826528
0,0299192547443088 0,0118968960472892 0,0321977940240453 -0,00615661395414341 -0,00322869761219937 0,00695186188379597
0,0315172657760983 0,0124671829662571 0,0338934904239051 -0,00596597994411554 -0,00311452424790021 0,0067300206525944
0,0330348410324156 0,0130181206070015 0,0355073539731618 -0,00580779885420043 -0,0030199508969251 0,00654603933311514
0,0343203747178564 0,0134880803414197 0,0368756889029978 -0,00568570903000517 -0,00294705089250924 0,00640409213994629
0,0352384715227369 0,0138240321520304 0,0378530545689394 -0,0056026408014184 -0,00289750122614661 0,00630754288968686
0,0356868603060646 0,0139868341758936 0,0383299299343022 -0,00556059248993719 -0,00287243344654727 0,00625867899352486
0,0356105480899958 0,013955739706444 0,0382475333325421 -0,00556059248993719 -0,00287243344654728 0,00625867899352486
0,035011188095885 0,013731025339221 0,0376075038888753 -0,0056026408014184 -0,00289750122614661 0,00630754288968686
0,033947029715434 0,0133340115315892 0,0364718616199546 -0,00568570903000517 -0,00294705089250924 0,00640409213994629
0,0325235229296526 0,0128045026547026 0,0349533236186478 -0,00580779885420043 -0,0030199508969251 0,00654603933311514
0,0308792777907059 0,0121964192065218 0,0332006391254264 -0,00596597994411554 -0,00311452424790021 0,0067300206525944
0,0291693863072663 0,0115727252397189 0,031381221566672 -0,00615661395414341 -0,00322869761219937 0,00695186188379597
0,0275473006182838 0,011000292494808 0,0296624376328958 -0,00637582831861335 -0,00336035393704112 0,00720716069826528
0,0261522714291425 0,010544677735068 0,0281980766975335 -0,00662000705612749 -0,00350763695161773 0,0074918629463927
0,0250946487674634 0,0102636488534178 0,0271124304434076 -0,0068864024053666 -0,00366952042229867 0,00780307107607678
0,0244463470043461 0,0102009254800623 0,0264892952436769 -0,00717395297502826 -0,00384626080764503 0,00813998301523676
0,0242361776060876 0,0103800860174152 0,0263654791476044 -0,0074832716201487 -0,00403944088566833 0,00850390714964198
0,0244517729287172 0,0108030933509687 0,0267319289484933 -0,00781653090325302 -0,00425183610979298 0,00889810461087354
0,0250502528679824 0,0114542671426279 0,0275447890629888 -0,00817675027278793 -0,00448683663089788 0,0093268938010414
0,0259732811674537 0,0123079314757821 0,0287418947151392 -0,00856667428933642 -0,00474755075732125 0,00979424047963492
